COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Korea,MAY2013,May 2013,2013,5,May,Final consumption,39473.035,20,497750.909,205110.803,0.9540332018148102
IEA Total,FEB2016,February 2016,2016,2,February,Natural gas,211339.729825,10,2795269.59938,433365.571219,0.247120296278335
India,DEC2018,December 2018,2018,12,December,Electricity supplied,123155.01225,17,1519537.87662,1405865.056296,1.0
Mexico,MAR2011,March 2011,2011,3,March,Oil,3417.958,9,44965.322,9899.519,0.1469392496324754
Denmark,JAN2022,January 2022,2022,1,January,Total exports,1654.782877,16,17369.366721,1150.371344,0.4249060247808585
OECD Asia Oceania,SEP2010,September 2010,2010,9,September,Wind,736.847,2,10797.443,,0.0046102287693861
Czech Republic,FEB2018,February 2018,2018,2,February,Hydro,307.157692,1,2651.817999,458.151,0.0471371116879523
IEA Total,SEP2012,September 2012,2012,9,September,Combustible renewables,18289.812,11,230436.359,158269.163,0.0223343889532102
Sweden,SEP2014,September 2014,2014,9,September,Total combustible fuels,712.32,7,13155.001,11148.986,0.0712232609058868
Canada,FEB2018,February 2018,2018,2,February,Other renewables aggregated,817.062771,25,9742.54293,1936.496,0.0148408742706808
Australia,JAN2019,January 2019,2019,1,January,Others,461.496176,24,4751.701503,416.366173,0.0198969311327682
OECD Asia Oceania,APR2017,April 2017,2017,4,April,Others,8182.224697,24,120288.711535,56852.44434,0.0585772232552717
OECD Europe,JAN2018,January 2018,2018,1,January,Hydro,55300.426789,1,589404.626854,50124.937,0.1675382344895002
Hungary,NOV2022,November 2022,2022,11,November,Net electricity production,2439.637628,14,33731.767383,31342.404825,1.0
Romania,JAN2020,January 2020,2020,1,January,Nuclear,968.972739,6,10556.703,944.857524,0.1941823354386493
Sweden,OCT2015,October 2015,2015,10,October,Electricity supplied,11631.65,17,136445.0,108552.586,0.8204356410167247
Iceland,SEP2012,September 2012,2012,9,September,Electricity supplied,1395.546,17,17295.999,12497.597,1.0
Ireland,JUN2015,June 2015,2015,6,June,Natural gas,866.299,10,11915.822,5995.979,0.4213744029954924
Denmark,DEC2010,December 2010,2010,12,December,Total exports,1362.884,16,11734.0,,0.3268765522261516
Iceland,AUG2019,August 2019,2019,8,August,Electricity supplied,1488.72631,17,19119.793,12826.007707,1.0
New Zealand,APR2011,April 2011,2011,4,April,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Croatia,JAN2015,January 2015,2015,1,January,Others,18.801,24,199.864,,0.0159624189929098
OECD Europe,OCT2017,October 2017,2017,10,October,Net electricity production,289108.111,14,3532539.868,2852718.886,1.0
OECD Total,DEC2018,December 2018,2018,12,December,Oil,16448.933067,9,203348.452296,210469.548535,0.0177652520809795
Denmark,AUG2014,August 2014,2014,8,August,Total exports,763.04,16,9847.001,6879.663,0.3396155201942695
Greece,SEP2010,September 2010,2010,9,September,Wind,198.683,2,2714.001,,0.0468283620785558
Argentina,JUN2017,June 2017,2017,6,June,Geothermal,0.0,4,0.0,0.0,0.0
Colombia,NOV2016,November 2016,2016,11,November,Non-renewables,1487.661,23,24570.492,23815.672,0.2403083432165429
Slovak Republic,JAN2018,January 2018,2018,1,January,Other renewables aggregated,115.302628,25,1420.528378,118.977,0.0451267031588565
New Zealand,JUN2013,June 2013,2013,6,June,Electricity trade,0.0,21,0.0,0.0,0.0
Netherlands,JUL2016,July 2016,2016,7,July,Distribution losses,451.342,19,5433.832,3019.599,0.054579611037043
Austria,MAY2020,May 2020,2020,5,May,Natural gas,174.92634,10,9523.693792,4442.656546,0.0314691273856157
Netherlands,MAR2011,March 2011,2011,3,March,Wind,232.25,2,5100.171,1084.913,0.0235485332989948
Czech Republic,FEB2015,February 2015,2015,2,February,Distribution losses,365.305,19,4066.999,753.41,0.0507205538447611
United States,NOV2014,November 2014,2014,11,November,Combustible renewables,5636.672,11,66672.641,57324.454,0.0176243264802523
Japan,JUN2011,June 2011,2011,6,June,Geothermal,192.46,4,2366.026,1291.991,0.0022948166416344
OECD Americas,FEB2014,February 2014,2014,2,February,Total exports,5366.624,16,75373.999,11460.739,0.0129153724187393
OECD Americas,SEP2017,September 2017,2017,9,September,Nuclear,76149.167,6,911086.64,686355.667,0.1780687672295109
Slovenia,SEP2015,September 2015,2015,9,September,Total imports,593.0,15,9045.0,5023.693,0.4685532056782643
United States,APR2018,April 2018,2018,4,April,Total exports,1244.52538,16,13804.492,3363.64,0.0040509191231318
Belgium,NOV2016,November 2016,2016,11,November,Low carbon,4048.712,26,57050.421,36428.655,0.5894784659074778
OECD Europe,JUL2018,July 2018,2018,7,July,Net electricity production,282513.716984,14,3522615.076102,2053856.785,1.0
Serbia,JUN2022,June 2022,2022,6,June,Fossil fuels,1538.021853,27,22354.918306,11137.570481,0.6595064843480006
Lithuania,OCT2010,October 2010,2010,10,October,Natural gas,197.05,10,2888.214,,0.5059543678202238
Hungary,NOV2019,November 2019,2019,11,November,Other combustible non-renewables,22.197188,12,227.597318,187.381302,0.0079067557400116
